ID,Title,Abstract,Year,Journal/Conference,Journal/Conf/BC/WP/Other,Embedding_Techniques,Embedding_Techniques(formatted),Category,Relation,Relation (Original or Varient/Enhancement),PDF Stored?,Number_Authors,List of Authors,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Affiliation_1,Affiliation_2,Affiliation_3,Affiliation_4,Affiliation_5,Affiliation_6,Affiliation_7,Affiliation_8,Affiliation_9,Affiliation_10,Affiliation_11,Affiliation_12,Country_1,Country_2,Country_3 ,Country_4,Country_5,Country_6,Country_7,Country_8,Country_9 ,Country_10,Country_11,Country_12,URL
vaswani2017attention,Attention Is All You Need,"The dominant sequence transduction models are based on complex recurrent orconvolutional neural networks in an encoder and decoder configuration. The best performing such models also connect the encoder and decoder through an attentionm echanisms. We propose a novel, simple network architecture based solely onan attention mechanism, dispensing with recurrence and convolutions entirely.Experiments on two machine translation tasks show these models to be superiorin quality while being more parallelizable and requiring significantly less timeto train. Our single model with 165 million parameters, achieves 27.5 BLEU onEnglish-to-German translation, improving over the existing best ensemble result by over 1 BLEU. On English-to-French translation, we outperform the previoussingle state-of-the-art with model by 0.7 BLEU, achieving a BLEU score of 41.1.",2017,Advances in neural information processing systems,Conference,Introduce Transformer Architecture,Transformer,Contextual Word Embeddings,Original Research,Original Research,Yes,8,"Vaswani, Ashish and Shazeer, Noam and Parmar, Niki and Uszkoreit, Jakob and Jones, Llion and Gomez, Aidan N and Kaiser, Lukasz and Polosukhin, Illia","Vaswani, Ashish","Shazeer, Noam","Parmar, Niki","Uszkoreit, Jakob","Jones, Llion","Gomez, Aidan","Kaiser, Lukasz","Polosukhin, Illia",NA,NA,Google ,Google ,Google ,Google ,Google ,University of Toronto,Google ,Google,NA,NA,NA,NA,USA,USA,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,https://arxiv.org/pdf/1706.03762
sonkar2020attention,Attention Word Embedding,"Word embedding models learn semantically rich vector representations of words and are widely used to initialize natural processing language (NLP) models. The popular continuous bag-of-words (CBOW) model of word2vec learns a vector embedding by masking a given word in a sentence and then using the other words as a context to predict it. A limitation of CBOW is that it equally weights the context words when making a prediction, which is inefficient, since some words have higher predictive value than others. We tackle this inefficiency by introducing the Attention Word Embedding (AWE) model, which integrates the attention mechanism into the CBOW model. We also propose AWE-S, which incorporates subword information. We demonstrate that AWE and AWE-S outperform the state-of-the-art word embedding models both on a variety of word similarity datasets and when used for initialization of NLP models.",2020,arXiv preprint arXiv:2006.00988,Working Paper,word2vec + attention-based,word2vec,Contextual Word Embeddings,Varient of word2vec,Varient/Enhancement,Yes,3,"Sonkar, Shashank and Waters, Andrew E and Baraniuk, Richard G","Sonkar, Shashank","Waters, Andrew","Baraniuk, Richard",NA,NA,NA,NA,NA,NA,NA,Rice University,Rice University,Rice University,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/1706.03762
le2014paragraph,Distributed Representations of Sentences and Documents,"Many machine learning algorithms require the input to be represented as a fixed-length feature vector. When it comes to texts, one of the most common fixed-length features is bag-of-words. Despite their popularity, bag-of-words features have two major weaknesses: they lose the ordering of the words and they also ignore semantics of the words. For example, “powerful,” “strong” and “Paris” are equally distant. In this paper, we propose Paragraph Vector, an unsupervised algorithm that learns fixed-length feature representations from variable-length pieces of texts, such as sentences, paragraphs, and documents. Our algorithm represents each document by a dense vector which is trained to predict words in the document. Its construction gives our algorithm the potential to overcome the weaknesses of bag-of-words models. Empirical results show that Paragraph Vectors outperforms bag-of-words models as well as other techniques for text representations. Finally, we achieve new state-of-the-art results on several text classification and sentiment analysis tasks.",2014,Proc. of ICML 2014,Conference,Paragraph Vector (Doc2Vec),doc2vec,Sentence/Document Embedding,Extension of word2vec,Varient/Enhancement,Yes,2,"Le, Quoc and Mikolov, Tomas","Le, Quoc","Mikolov, Tomas",NA,NA,NA,NA,NA,NA,NA,NA,Google ,Google ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://proceedings.mlr.press/v32/le14.pdf
arora2017asimple,A Simple but Tough-to-Beat Baseline for Sentence Embeddings,"The success of neural network methods for computing word embeddings has motivated methods for generating semantic embeddings of longer pieces of text, such as sentences and paragraphs. Surprisingly, Wieting et al (ICLR’16) showed that such complicated methods are outperformed, especially in out-of-domain (transfer learning) settings, by simpler methods involving mild retraining of word embeddings and basic linear regression. The method of Wieting et al. requires retraining with a substantial labeled dataset such as Paraphrase Database (Ganitkevitch et al., 2013). The current paper goes further, showing that the following completely unsupervised sentence embedding is a formidable baseline: Use word embeddings computed using one of the popular methods on unlabeled corpus like Wikipedia, represent the sentence by a weighted average of the word vectors, and then modify them a bit using PCA/SVD. This weighting improves performance by about 10% to 30% in textual similarity tasks, and beats sophisticated supervised methods including RNN’s and LSTM’s. It even improves Wieting et al.’s embeddings. This simple method should be used as the baseline to beat in future, especially when labeled training data is scarce or nonexistent. The paper also gives a theoretical explanation of the success of the above unsupervised method using a latent variable generative model for sentences, which is a simple extension of the model in Arora et al. (TACL’16) with new “smoothing” terms that allow for words occurring out of context, as well as high probabilities for words like and, not in all contexts.",2017,"International Conference on Learning Representations (ICLR 2017, workshop track)",Conference,Deep Averaging Neural Network,DAN,Sentence/Document Embedding,Original Research,Original Research,Yes,3,"Arora, Sanjeev and Liang, Yingyu and Ma, Tengyu","Arora, Sanjeev","Liang, Yingyu","Ma, Tengyu",NA,NA,NA,NA,NA,NA,NA,Princeton University,Princeton University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://openreview.net/pdf?id=SyK00v5xx
cer2018universal,Universal Sentence Encoder,"We present models for encoding sentences into embedding vectors that specifically target transfer learning to other NLP tasks. The models are efficient and result in accurate performance on diverse transfer tasks. Two variants of the encoding models allow for trade-offs between accuracy and compute resources. For both variants, we investigate and report the relationship between model complexity, resource consumption, the availability of transfer task training data, and task performance. Comparisons are made with baselines that use word level transfer learning via pretrained word embeddings as well as baselines do not use any transfer learning. We find that transfer learning using sentence embeddings tends to outperform word level transfer. With transfer learning via sentence embeddings, we observe surprisingly good performance with minimal amounts of supervised training data for a transfer task. We obtain encouraging results on Word Embedding Association Tests (WEAT) targeted at detecting model bias. Our pre-trained sentence encoding models are made freely available for download and on TF Hub.",2018,arXiv preprint arXiv:1803.11175,Working Paper,Transformer + DAN-based sentence embeddings,Transformer + DAN,Sentence/Document Embedding,"Combination of Transformer, DAN, and pretrained word embeddings",Varient/Enhancement,Yes,10,"Cer, Daniel and Yang, Yinfei and Kong, Sheng-yi and Hua, Nan and Limtiaco, Nicole and John, Rhomni St and Constant, Noah and Guajardo-Cespedes, Mario and Yuan, Steve and Tar, Chris and others","Cer, Daniel","Yang, Yinfei","Kong, Sheng-yi","Hua, Nan","Limtiaco, Nicole","John, Rhomni","Constant, Noah","Guajardo-Cespedes, Mario","Yuan, Steve","Tar, Chris",Google ,Google ,Google ,Google ,Google ,Google ,Google ,Google ,Google ,Google ,NA,NA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,NA,NA,https://arxiv.org/pdf/1803.11175
vashishth2019incorporating,Incorporating Syntactic and Semantic Information in Word Embeddings using Graph Convolutional Networks,"Word embeddings have been widely adopted across several NLP applications. Most existing word embedding methods utilize sequential context of a word to learn its embedding. While there have been some attempts at utilizing syntactic context of a word, such methods result in an explosion of the vocabulary size. In this paper, we overcome this problem by proposing SynGCN, a flexible Graph Convolution based method for learning word embeddings. SynGCN utilizes the dependency context of a word without increasing the vocabulary size. Word embeddings learned by SynGCN outperform existing methods on various intrinsic and extrinsic tasks and provide an advantage when used with ELMo. We also propose SemGCN, an effective framework for incorporating diverse semantic knowledge for further enhancing learned word representations. We make the source code of both models available to encourage reproducible research.",2019,Proc. of ACL 2019,Conference,Introduce GCNs (SynGCN + SemGCN),GCN,Static Word Embeddings,Original Research,Original Research,Yes,6,"Vashishth, Shikhar and Bhandari, Manik and Yadav, Prateek and Rai, Piyush and Bhattacharyya, Chiranjib and Talukdar, Partha","Vashishth, Shikhar","Bhandari, Manik","Yadav, Prateek","Rai, Piyush","Bhattacharyya, Chiranjib","Talukdar, Partha",NA,NA,NA,NA,Indian Institute of Science,Carnegie Mellon University,Microsoft,IIT Kanpur,Indian Institute of Science,Indian Institute of Science,NA,NA,NA,NA,NA,NA,India,USA,USA,India,India,India,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/1809.04283
rothe2016ultradense,Ultradense Word Embeddings by Orthogonal Transformation,"Embeddings are generic representations that are useful for many NLP tasks. In this paper, we introduce DENSIFIER, a method that learns an orthogonal transformation of the embedding space that focuses the information relevant for a task in an ultradense subspace of a dimensionality that is smaller by a factor of 100 than the original space. We show that ultradense embeddings generated by DENSIFIER reach state of the art on a lexicon creation task in which words are annotated with three types of lexical information – sentiment, concreteness and frequency. On the SemEval2015 10B sentiment analysis task we show that no information is lost when the ultradense subspace is used, but training is an order of magnitude more efficient due to the compactness of the ultradense space.",2016,Proceedings of NAACL-HLT 2016,Conference,Ultradense,Ultradense,Static Word Embeddings,Original Research + Post processing of other static word techniques,Original Research,Yes,3,"Rothe, Sascha and Ebert, Sebastian and Schutze, Hinrich","Rothe, Sascha","Ebert, Sebastian","Schutze, Hinrich",NA,NA,NA,NA,NA,NA,NA,LMU Munich,LMU Munich,LMU Munich,NA,NA,NA,NA,NA,NA,NA,NA,NA,German,German,German,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/1602.07572
wu2018word,Word Mover's Embedding: From Word2Vec to Document Embedding,"While the celebrated Word2Vec technique yields semantically rich representations for individual words, there has been relatively less success in extending to generate unsupervised sentences or documents embeddings. Recent work has demonstrated that a distance measure between documents called Word Mover’s Distance (WMD) that aligns semantically similar words, yields unprecedented KNN classification accuracy. However, WMD is expensive to compute, and it is hard to extend its use beyond a KNN classifier. In this paper, we propose the Word Mover’s Embedding (WME), a novel approach to building an unsupervised document (sentence) embedding from pre-trained word embeddings. In our experiments on 9 benchmark text classification datasets and 22 textual similarity tasks, the proposed technique consistently matches or outperforms state-of-the-art techniques, with significantly higher accuracy on problems of short length.",2018,Proc. of EMNLP 2018,Conference,word2vec + wmd,"word2vec, WMD",Sentence/Document Embedding,Varient of word2vec and wmd,Varient/Enhancement,Yes,8,"Wu, Lingfei and Yen, Ian EH and Xu, Kun and Xu, Fangli and Balakrishnan, Avinash and Chen, Pin-Yu and Ravikumar, Pradeep and Witbrock, Michael J","Wu, Lingfei","Yen, Ian","Xu, Kun","Xu, Fangli","Balakrishnan, Avinash","Chen, Pin-Yu","Ravikumar, Pradeep","Witbrock, Michael",NA,NA,IBM,Carnegie Mellon University,IBM,College of William and Mary,IBM,IBM,Carnegie Mellon University,IBM,NA,NA,NA,NA,USA,USA,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,https://arxiv.org/pdf/1811.01713
kusner2015word,From word embeddings to document distances,"We present the Word Mover’s Distance (WMD), a novel distance function between text documents. Our work is based on recent results in word embeddings that learn semantically meaningful representations for words from local cooccurrences in sentences. The WMD distance measures the dissimilarity between two text documents as the minimum amount of distance that the embedded words of one document need to “travel” to reach the embedded words of another document. We show that this distance metric can be cast as an instance of the Earth Mover’s Distance, a well studied transportation problem for which several highly efficient solvers have been developed. Our metric has no hyperparameters and is straight-forward to implement. Further, we demonstrate on eight real world document classification data sets, in comparison with seven state-of-the-art baselines, that the WMD metric leads to unprecedented low k-nearest neighbor document classification error rates.",2015,International conference on machine learning,Conference,Introduce WMD,WMD,Sentence/Document Embedding,Original Research,Original Research,Yes,4,"Kusner, Matt and Sun, Yu and Kolkin, Nicholas and Weinberger, Kilian","Kusner, Matt","Sun, Yu","Kolkin, Nicholas","Weinberger, Kilian",NA,NA,NA,NA,NA,NA,Washington University in St. Louis,Washington University in St. Louis,Washington University in St. Louis,Washington University in St. Louis,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,https://proceedings.mlr.press/v37/kusnerb15.pdf
gabrilovich2007computing,Computing Semantic Relatedness using Wikipedia-based Explicit Semantic Analysis,"Computing semantic relatedness of natural language texts requires access to vast amounts of common-sense and domain-specific world knowledge. We propose Explicit Semantic Analysis (ESA), a novel method that represents the meaning of texts in a high-dimensional space of concepts derived from Wikipedia. We use machine learning techniques to explicitly represent the meaning of any text as a weighted vector of Wikipedia-based concepts. Assessing the relatedness of texts in this space amounts to comparing the corresponding vectors using conventional metrics (e.g., cosine). Compared with the previous state of the art, using ESA results in substantial improvements in correlation of computed relatedness scores with human judgments: from r = 0.56 to 0.75 for individual words and from r = 0.60 to 0.72 for texts. Importantly, due to the use of natural concepts, the ESA model is easy to explain to human users.",2007,IJCAI,Conference,Introduce ESA (Using TF-IDF),TF-IDF,Sentence/Document Embedding,"Uses TF-IDF to compute the representation of both words and documents, primary focus is on documents",Original Research,Yes,2,"Gabrilovich, Evgeniy and Markovitch, Shaul","Gabrilovich, Evgeniy","Markovitch, Shaul",NA,NA,NA,NA,NA,NA,NA,NA,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Israel,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.ijcai.org/Proceedings/07/Papers/259.pdf
